tourney_id,alias,source
1972-560,Us Open,tour
1972-580,Australian Open,tour
1972-605,Masters,tour
1972-610,Dallas Wct,tour
1972-6120,Nice,tour
1972-652,St. Louis Wct,tour
1972-653,Fort Worth Wct,tour
1972-654,Sacramento,tour
1972-657,Hampton,tour
1972-661,Dusseldorf,tour
1972-663,Louisville Wct,tour
1972-681,Miami Wct,tour
1972-6832,Midland,tour
1972-706,Bretton Woods,tour
1972-707,South Orange,tour
1972-710,Washington,tour
1972-713,Hobart,tour
1972-724,Hilton Head,tour
1972-7302,Paris Indoor,tour
1972-802,Richmond Wct,tour
1972-816,Baltimore,tour
1972-818,Chicago Wct,tour
1972-9037,Tokyo,tour
1972-9204,Kingston,tour
1972-9205,Hartford,tour
1972-9206,New York,tour
1972-9215,Cleveland,tour
1972-9216,Hong Kong,tour
1972-9238,Kansas City,tour
1972-D001,Davis Cup Sam Sf: Bra Vs Arg,tour
1972-D002,Davis Cup Wg F: Ind Vs Aus,tour
1972-D003,Davis Cup Ame F: Jpn Vs Aus,tour
1972-D004,Davis Cup Ame Sf: Kor Vs Aus,tour
1972-D005,Davis Cup Wg Sf: Rou Vs Aus,tour
1972-D006,Davis Cup Eur R1: Ita Vs Aut,tour
1972-D007,Davis Cup Eur R1: Bel Vs Tch,tour
1972-D008,Davis Cup Sam F: Bra Vs Chi,tour
1972-D009,Davis Cup Sam Qf: Bra Vs Ven,tour
1972-D010,Davis Cup Eur R1: Bul Vs Esp,tour
