tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date
1969-7302,Paris,Carpet,A,32,19691107
1969-7310,Beckenham,Grass,A,64,19690609
1969-802,Richmond,Carpet,A,8,19690131
1969-818,Chicago,Carpet,A,16,19690908
1969-9204,Kingston,Hard,A,32,19690224
1969-9240,Berlin,Clay,A,64,19690519
1969-9277,Curacao,Hard,A,16,19690224
1969-9278,New Orleans,Carpet,A,8,19691226
1969-9280,Oakland,Carpet,A,16,19690223
1969-9281,Japanese Championships,Carpet,A,10,19690501
1969-9282,New York 2,Carpet,A,8,19690515
1969-9283,Amsterdam,Clay,A,8,19690522
1969-9284,London 2,Hard,A,4,19690521
1969-9285,Milwaukee,Clay,A,8,19690718
1969-9286,Portschach,Clay,A,8,19690730
1969-9287,Binghamton,Hard,A,4,19690808
1969-9288,Southampton,Grass,A,64,19690804
1969-9291,Newport,Grass,A,8,19690820
1969-9292,Anaheim,Carpet,A,8,19690425
1969-9293,Baltimore,Grass,A,6,19690821
1969-9294,Barcelona 2,Clay,A,4,19691107
1969-9330,Vienna,Hard,A,8,19691113
1969-9341,Brisbane,Grass,A,64,19691201
1969-9830,Pittsburgh,Clay,A,8,19690201
1969-9831,Buffalo,Hard,A,8,19690208
1969-713,Hobart,Grass,A,32,19681230
1969-3943,Boston,Carpet,A,8,19690709
1970-2029,Dublin,Grass,A,32,19700706
1970-2030,Merion,Grass,A,64,19700817
1970-2048,Vancouver,Carpet,A,16,19700929
1970-2049,Eastbourne,Grass,A,32,19700615
1970-2050,Newport,Grass,A,64,19700705
1970-2063,Casablanca WCT,,A,16,19700607
1970-2066,Macon,Carpet,A,32,19700225
1970-2067,Phoenix,Hard,A,32,19701018
1970-260,Durban,Hard,A,64,19700406
1970-303,Buenos Aires,Clay,A,32,19701108
1970-311,London / Queen's Club,Grass,A,64,19700615
1970-313,Bristol,Grass,A,32,19700608
1970-314,Gstaad,Clay,A,32,19700718
1970-316,Bastad,Clay,A,32,19700711
1970-317,Hilversum,Hard,A,64,19700802
1970-347,Bournemouth,Clay,A,32,19700426
1970-350,Nottingham,Grass,A,64,19700608
1970-352,Paris Indoor,Carpet,A,32,19701109
1970-388,Dallas,Carpet,A,32,19700421
1970-3941,Sydney,Grass,A,32,19700316
1970-401,Philadelphia WCT,Carpet,A,64,19700202
1970-405,Houston,Clay,A,32,19700421
1970-406,Brussels,Clay,A,32,19700512
1970-410,Monte Carlo,Clay,A,64,19700413
1970-412,Atlanta,Hard,A,16,19700506
1970-413,Las Vegas,Hard,A,16,19700513
1970-414,Hamburg,Clay,A,64,19700817
1970-416,Rome,Clay,M,32,19700516
1970-417,Boston,Hard,A,32,19700809
1970-418,Washington,Hard,A,64,19700718
1970-419,Indianapolis,Clay,A,64,19700727
1970-421,Montreal / Toronto,Clay,M,32,19700812
1970-422,Cincinnati,Clay,M,64,19700720
1970-423,Los Angeles,Hard,A,64,19700919
1970-424,Berkeley,Hard,A,64,19700928
1970-425,Barcelona,Clay,A,64,19701003
1970-426,Johannesburg,Hard,A,64,19700324
1970-429,Stockholm Open,Hard,A,32,19701101
1970-430,Wembley,Carpet,A,32,19701116
1970-436,Charlotte,Clay,A,32,19700415
1970-520,Roland Garros,Clay,G,128,19700501
1970-540,Wimbledon,Grass,G,128,19700622
1970-560,US Open,Grass,G,128,19700902
1970-580,Australian Open,Grass,G,64,19700119
1970-605,Masters,Carpet,M,6,19701209
1970-652,St. Louis WCT,Carpet,A,32,19700603
1970-653,Fort Worth,Hard,A,16,19700819
1970-657,Hampton,Carpet,A,32,19700302
1970-661,Dusseldorf,Clay,A,32,19700706
1970-663,Louisville,Hard,A,16,19700802
1970-6811,Los Angeles,Carpet,A,8,19700225
1970-6812,Wembley,Carpet,A,16,19700304
1970-681,Miami,Clay,A,8,19700212
1970-6816,Corpus Christi,Hard,A,8,19700220
1970-6817,San Juan,Hard,A,64,19700329
1970-6830,Hoylake,Grass,A,64,19700713
1970-6831,Leicester,Grass,A,16,19700719
1970-6832,Midland,Hard,A,8,19701008
1970-6833,Tucson,Hard,A,16,19701015
1970-707,South Orange,Hard,A,64,19700901
1970-802,Richmond,Carpet,A,8,19700213
1970-9205,Cambridge,Clay,A,5,19700309
1970-D001,Davis Cup SAM QF: ARG vs CHI,Clay,D,4,19700320
1970-D002,Davis Cup WG F: IND vs AUS,,D,4,19700503
1970-D003,Davis Cup AME F: JPN vs AUS,,D,4,19700417
1970-D005,Davis Cup WG SF: PHI vs AUS,,D,4,19700403
1970-D006,Davis Cup EUR QF: FRA vs AUT,Clay,D,4,19700522
1970-D007,Davis Cup EUR R1: GBR vs AUT,Clay,D,4,19700507
1970-D008,Davis Cup EUR R1: FIN vs BEL,,D,4,19700522
1970-D009,Davis Cup EUR SF: FRG vs BEL,,D,4,19700612
1970-D011,Davis Cup AME F: BRA vs CAN,Clay,D,4,19700718
1970-D012,Davis Cup SAM SF: BRA vs CHI,,D,4,19700405
1970-D013,Davis Cup SAM F: BRA vs COL,,D,4,19700614
1970-D014,Davis Cup EUR SF: BRA vs ESP,,D,4,19700802
1970-D015,Davis Cup SAM QF: VEN vs BRA,,D,4,19700322
1970-D016,Davis Cup EUR QF: ESP vs BUL,Clay,D,4,19700522
1970-D017,Davis Cup EUR R1: TUR vs BUL,,D,4,19700508
1970-D018,Davis Cup AME SF: CAN vs CAR,Clay,D,4,19700606
1970-D019,Davis Cup AME F: CAN vs NZL,Clay,D,4,19700613
1970-D020,Davis Cup SAM QF: COL vs ECU,Clay,D,4,19700404
1970-D021,Davis Cup SAM SF: COL vs URU,,D,4,19700411
1970-D022,Davis Cup EUR R1: FRG vs DEN,Clay,D,4,19700508
1970-D023,Davis Cup EUR QF: FRG vs EGY,,D,4,19700522
1970-D024,Davis Cup EUR R1: EGY vs NOR,Clay,D,4,19700508
1970-D025,Davis Cup EUR SF: FRA vs ESP,Clay,D,4,19700612
1970-D026,Davis Cup EUR F: FRG vs ESP,,D,4,19700814
1970-D027,Davis Cup EUR R1: SWE vs ESP,Clay,D,4,19700508
1970-D028,Davis Cup EUR F: ESP vs YUG,,D,4,19700716
1970-D029,Davis Cup EUR R1: SUI vs FRA,,D,4,19700508
1970-D030,Davis Cup EUR SF: IND vs FRG,,D,4,19700801
1970-D031,Davis Cup EUR F: FRG vs URS,,D,4,19700714
1970-D032,Davis Cup WG CR: USA vs FRG,Hard,D,4,19700829
1970-D033,Davis Cup EUR R1: GRE vs NED,,D,4,19700508
1970-D034,Davis Cup EUR QF: ROU vs GRE,Clay,D,4,19700522
1970-D035,Davis Cup G2 QF: HKG vs JPN,,D,4,19700314
1970-D036,Davis Cup EUR R1: HUN vs URS,,D,4,19700508
1970-D037,Davis Cup G1 QF: VIE vs INA,,D,4,19700328
1970-D038,Davis Cup EUR SF: IND vs PAK,,D,4,19700328
1970-D039,Davis Cup WG F: IND vs SRI,,D,4,19700417
1970-D040,Davis Cup EUR R1: IRI vs ROU,,D,4,19700507
1970-D041,Davis Cup EUR R1: LUX vs IRL,,D,4,19700501
1970-D042,Davis Cup EUR QF: IRL vs YUG,,D,4,19700522
1970-D043,Davis Cup EUR R1: ITA vs TCH,Clay,D,4,19700507
1970-D044,Davis Cup WG SF: JPN vs VIE,,D,4,19700410
1970-D045,Davis Cup G2 SF: MAS vs SRI,,D,4,19700314
1970-D046,Davis Cup AME SF: MEX vs NZL,Clay,D,4,19700508
1970-D047,Davis Cup EUR R1: POR vs MON,Clay,D,4,19700501
1970-D048,Davis Cup EUR QF: MON vs URS,,D,4,19700522
1970-D049,Davis Cup EUR R1: YUG vs POL,,D,4,19700507
1970-D050,Davis Cup EUR SF: YUG vs ROU,Clay,D,4,19700612
1970-D051,Davis Cup EUR SF: URS vs TCH,Clay,D,4,19700611
1970-2016,London 3,Carpet,A,8,19701112
1970-2036,Omaha,Hard,A,16,19700128
1970-2047,Jacksonville,Clay,A,32,19700325
1970-2058,New York,Carpet,A,8,19700209
1970-301,Auckland,Grass,A,32,19700126
1970-343,Columbus,Hard,A,8,19700814
1970-344,Caracas,Hard,A,32,19700309
1970-389,Denver,Hard,A,8,19701007
1970-3936,Melbourne,Grass,A,64,19700110
1970-3940,Barranquilla,Clay,A,64,19700316
1970-654,Sacramento,Hard,A,16,19700507
1970-717,Indianapolis,Clay,A,64,19700727
1970-7308,Adelaide,Grass,A,64,19701219
1970-7310,Beckenham,Grass,A,64,19700608
1970-9204,Kingston,Hard,A,32,19700406
1970-9238,Kansas City,Hard,A,8,19700501
1970-9240,Berlin,Clay,A,64,19700511
1970-9277,Curacao,Hard,A,32,19700323
1970-9278,New Orleans,Carpet,A,8,19701226
1970-9289,Champions Classic,Carpet,A,9,19700716
1970-9290,Australian Round Robin,Grass,A,5,19700104
1970-9291,Newport 2,Grass,A,8,19700826
1970-9341,Brisbane,Grass,A,64,19701109
1970-319,Kitzbuehel,Clay,A,64,19700809
1970-308,Munich,Clay,A,32,19700803
1970-6818,St. Petersburg,Clay,A,64,19700406
1970-8025,Manchester,Grass,A,8,19700601
1970-355,Salisbury,Hard,A,64,19700215
1971-2011,Tehran WCT,Clay,A,32,19710515
1971-2026,Madrid,Clay,A,64,19710503
1971-2029,Dublin,Grass,A,32,19710705
1971-2030,Merion,Hard,A,64,19710822
1971-2036,Omaha,Carpet,A,16,19710127
1971-2044,Quebec WCT,,A,32,19710801
